R,No. Pedido,INFO,OT,MP,ML UV,ML TOTAL,ANCHO,M2,Cve,Cliente,Sku item,Descripcion,ABCD,F.Pedido,F.Lib,F. Soli. Clie,F. Venci. Ped,"F. Emb.
Plan",F. MODIFICADA,F. PT ENTREGA,Dias Lib,Dias Venci.,C.Orded.,C.Surtida,C.XSurtir,Existencia,U/M,Total,Vend,VENDEDORES,Nota
,I0ETI28136-1,SALDO POR CERRAR,OE00048295,M0119179-200,5.821,18.86004,0.2,3.772008,N11667P,LUIS FERNANDO MONTELONGO RIVERA,11667B0001A,ETIQ. PARA CABLE S/IMP R-3000,C, 21/12/23, 22/12/23, 11/01/24, 11/01/24, 13/01/24,,,54,34,"1,380.00","1,377.00",3.00,0.00,MI,66.55,39,Alejandro de Mata,SERVICIO OCURRE - Tres Guerras en Gómez Palacio
,I0ETI28589-1,PLANEACION,,M0151306-125,53.98,69.95808,0.125,8.74476,NE6281P,PCM Prueba Industrial,P4349A,"ETIQUETA RFID 4X2"" INLAY MINIWEB",C, 08/01/24, 08/01/24, 26/01/24, 11/01/24, 13/01/24,,,37,18,1.20,0.00,1.20,0.00,MI,1.20,185,#N/A,EMBARCAR A CARLOS OLALDE  A CEDIS MEXICO
,I0ETI28202-2,PLANEACION,,M0549247-118,355.8,384.264,0.118,45.343152,NT8548P,CADENA COMERCIAL OXXO,08809B0001A,KIT ETIQ BOPP 3/4 x 3/4 C/3 R/5000,C, 23/12/23, 23/12/23, 28/12/23, 11/01/24, 13/01/24,,,53,48,1.00,0.00,1.00,0.00,CJ,"1,656.10",8,Ilse de la Fuente,
,I0ETI28607-1,PLANEACION,OE00048454,M0151319-220,26.5,8586,0.22,1888.92,NE9999P,PCM  (REPROGRAMACIONES),00742I0273A,ETIQ. TD BLANCA 2 3/4 X 3 1/8 R2000,C, 08/01/24, 08/01/24, 26/01/24, 15/01/24, 17/01/24,,,37,18,300.00,0.00,300.00,364.00,MI,0.00,182,Clelia Sanchez,Coordinar entrega con JAIME BLAZQUEZ
,I0ETI28369-1,SALDO POR CERRAR,,M0151319-325,18,29.16,0.325,9.477,N11200P,TIENDAS SORIANA,00742B0013A,MTTO. EQUIPO ETIQ. 4 X 2 TD,C, 28/12/23, 28/12/23, 16/01/24, 16/01/24, 18/01/24,,,48,29,984.00,982.50,1.50,120.00,MI,120.00,79,Jaime Blasques,SALINAS
,I0ETI28175-2,SALDO POR CERRAR,,M0549163-325,18.4,29.808,0.325,9.6876,N11200P,TIENDAS SORIANA,00742I0564A,ETIQ TD 4X2 ENE-JUL MORADA CEDIS TIJUANA,C, 22/12/23, 28/12/23, 27/12/23, 16/01/24, 18/01/24,,,48,49,834.00,832.50,1.50,0.00,MI,120.00,79,Jaime Blasques,SALINAS
,I0ETI28383-1,PLANEACION,OE00047943,M0549196-225,26.99,1748.952,0.225,393.5142,NE9999P,PCM  (REPROGRAMACIONES),50000I0057A,ETIQ. TT 4 X 2 VERDE R/3000 C/P C-3,B, 28/12/23, 29/12/23, 16/01/24, 16/01/24, 18/01/24,,,47,28,60.00,0.00,60.00,12.00,MI,0.00,182,Clelia Sanchez,Coordinar entrega con Clelia sanchez
,I0ETI28383-2,PLANEACION,OE00047944,M0549196-225,26.99,1748.952,0.225,393.5142,NE9999P,PCM  (REPROGRAMACIONES),50000I0058A,ETIQ. TT 4 X 2 AMARILLA R/3000 C/P C-3,B, 28/12/23, 29/12/23, 16/01/24, 16/01/24, 18/01/24,,,47,28,60.00,0.00,60.00,0.00,MI,0.00,182,Clelia Sanchez,Coordinar entrega con Clelia sanchez
,I0ETI28765-1,PLANEACION,,M4800001-305,157.2,5376.24,0.305,1639.7532,NE2563P,VELADORAS MISTICAS,02563I0053A,MANGA M0178 CAD SAGRADO CORAZON,E, 10/01/24, 10/01/24, 09/02/24, 17/01/24, 19/01/24,,,35,4,30.00,0.00,30.00,0.00,MI,"29,136.00",79,Jaime Blasques,PEDIDO LIGADO AL WETI017717 Y WETI017862
,cs00005011-11,PTE SUAJE LIB FLXR,OE00048467,M0549204-245,137.58,8915.184,0.245,2184.22008,TTIJ,ALMACEN ETIQUETAS MONTERREY-MP,11819B0002A,TIQ TT 3X8 R/2000 C/3 C/P,C, 05/01/24, 05/01/24, 20/01/24, 20/01/24, 22/01/24,,,40,25,60.00,0.00,60.00,0.00,RL,"17,640.00",,#N/A,
,I0ETI28423-1,SALDO POR CERRAR,OE00047991,M0549163-325,18.4,19.872,0.325,6.4584,N11200P,TIENDAS SORIANA,00742I0564A,ETIQ TD 4X2 ENE-JUL MORADA CEDIS TIJUANA,C, 02/01/24, 02/01/24, 20/01/24, 20/01/24, 22/01/24,,,43,25,101.00,100.00,1.00,0.00,MI,80.00,79,Jaime Blasques,TIJUANA
,I0ETI28422-1,SALDO POR CERRAR,OE00047984,M0549163-325,18.4,19.872,0.325,6.4584,N11200P,TIENDAS SORIANA,00742I0564A,ETIQ TD 4X2 ENE-JUL MORADA CEDIS TIJUANA,C, 02/01/24, 02/01/24, 20/01/24, 20/01/24, 22/01/24,,,43,25,"1,086.00","1,085.00",1.00,0.00,MI,80.00,79,Jaime Blasques,SALINAS
,I0ETI28166-1,LIB NP5,OE00048974,M4800002-216,127,1447.8,0.216,312.7248,N12279P,MUNDO SALSA,12279I0001A,MANGA GOLOS BOKADOS 300 G.,E, 22/12/23, 22/12/23, 22/01/24, 21/01/24, 23/01/24,16/2/2024,,54,23,50.00,40.00,10.00,0.00,MI,"4,985.36",79,Jaime Blasques,
,I0ETI28177-2,PLANEACION,,M0549163-286,26.2,565.92,0.286,161.85312,N11200P,TIENDAS SORIANA,00742B0037C,ETIQ. TD 2 3/4 X 4 1/8 R-1500,C, 22/12/23, 05/01/24, 28/12/23, 23/01/24, 25/01/24,,,40,48,20.00,0.00,20.00,0.00,MI,"1,600.00",79,Jaime Blasques,GUADALAJARA
,I0ETI28388-1,MP ETI1001455 8 FEB,OE00047867,M0549246-245,1.42875,1851.66,0.245,453.6567,NE9849P,GRUPO COMERCIAL DSW,09849B0002A,ETIQ TD  3” x 1” C.S.12mm C/150pzas P/An,E, 28/12/23, 04/01/24, 16/01/24, 23/01/24, 25/01/24,,,41,22,"1,200.00",0.00,"1,200.00",0.00,RL,"17,100.00",8,Ilse de la Fuente,SUSTITUYE PEDIDO WETI018048 CON 36 DIAS EN BACK ORDER. FACTURAR ENERO 2024
,I0ETI28039-1,PLANEACION,OE00047896,M0549248-160,92.075,5469.255,0.16,875.0808,N12272P,APRICC COMERCIALIZADORA INMOBILIARIA,12272I0001A,ETIQ TUAWA 600ML,C, 13/12/23, 05/01/24, 02/01/24, 23/01/24, 25/01/24,,,40,26,55.00,0.00,55.00,0.00,MI,"28,336.55",205,Gabriela Chapa,
,I0ETI28039-2,PLANEACION,OE00047897,M0549248-330,52.38,2941.6608,0.33,970.748064,N12272P,APRICC COMERCIALIZADORA INMOBILIARIA,12272I0002A,ETIQ TUAWA 1LT,C, 13/12/23, 05/01/24, 02/01/24, 23/01/24, 25/01/24,,,40,22,52.00,0.00,52.00,0.00,MI,"35,536.75",205,Gabriela Chapa,
,I0ETI28486-1,SALDO POR CERRAR,OE00047875,M0034354-270/M16361015-225,59.9,287.52,0.27,77.6304,NE5388D,ID GLOBAL SOLUTIONS,05388B0007B,ETIQUETA CARTULINA 4X12 R-400 C-3,C, 04/01/24, 04/01/24, 23/01/24, 23/01/24, 25/01/24,,,41,22,24.00,20.00,4.00,0.00,RL,"1,479.54",39,Alejandro de Mata,
,I0ETI28491-1,MP RICOH,OE00047880,M0039242-330,37.04,20001.6,0.33,6600.528,BA9014P,BACHOCO COMERCIAL,09014I0002A,ET TERMICA 4X4” S/SEG BLANCA C/TIF AH,C, 04/01/24, 04/01/24, 23/01/24, 23/01/24, 25/01/24,,,41,21,500.00,0.00,500.00,0.00,MI,"239,755.00",59,Cynthia Garay,WETI017228 ESTE PEDIDO LO SUSTITUYE
,I0ETI28547-4,SALDO POR CERRAR,OE00047931,M0549247-225,9.922,107.1576,0.225,24.11046,NE4003P,BACHOCO (MTY),03362I0332B,ETIQ. F&E PIERNAS DE POLLO,C, 05/01/24, 05/01/24, 23/01/24, 23/01/24, 25/01/24,,,40,21,120.00,110.00,10.00,0.00,MI,544.00,59,Cynthia Garay,WETI018300 ESTE PEDIDO LO SUSTITUYE
,I0ETI29065-1,SOLO FACT,,M0549153-215,29,313.2,0.215,67.338,NE9798D,UNICAR PLASTICS,PL5267100,,A, 17/01/24, 17/01/24, 24/01/24, 29/02/24,N/A,,,28,21,10.00,0.00,10.00,130.00,PQ,"1,473.53",182,Clelia Sanchez,solo facturar sustituye a la fac WEF0018908
,I0ETI28431-1,MP ETI1001450-1 23 FEB,,M0151246-180,0.0069,6259.68,0.18,1126.7424,D11204D,UNIVERSAL ELECTRONICS INC.,11204I0023A,47006-0037950-M PULL TAB GUIDE FILM,C, 02/01/24, 02/01/24, 25/01/24, 25/01/24, 27/01/24,,,43,20,"840,000.00",0.00,"840,000.00",0.00,PZ,"58,553.28",59,Cynthia Garay,
,I0ETI28658-1,SALDO POR CERRAR,OE00047993,M1830251-180,206.5,446.04,0.18,80.2872,NE2196P,MARIA MARGARITA TREVIÑO FUENTES,02196I0002,ETIQ. 6.5 X 8 IMPRESA A UNA TINTA,B, 08/01/24, 08/01/24, 25/01/24, 25/01/24, 27/01/24,,,37,20,102.00,100.00,2.00,0.00,MI,"1,051.04",39,Alejandro de Mata,
,I0ETI28559-1,PLANEACION,,M1001904-340,13.229,685.79136,0.34,233.1690624,NE9999P,PCM  (REPROGRAMACIONES),08125I0008A,ETIQ. SEGURIDAD APEAM,C, 06/01/24, 06/01/24, 25/01/24, 25/01/24, 27/01/24,,,39,20,48.00,0.00,48.00,0.00,MI,0.00,182,Clelia Sanchez,Coordinar entrega con Alejandra bañuelos
,I0ETI28592-1,PLANEACION,,M0151306-125,53.98,69.95808,0.125,8.74476,NE6281P,PCM Prueba Industrial,P4349A,"ETIQUETA RFID 4X2"" INLAY MINIWEB",C, 08/01/24, 08/01/24, 26/01/24, 26/01/24, 28/01/24,,,37,18,1.20,0.00,1.20,0.00,MI,1.20,185,#N/A,embarcar a carlos olalde a cedis mexico
,I0ETI28592-2,PLANEACION,,M0151306-125,53.98,116.5968,0.125,14.5746,NE6281P,PCM Prueba Industrial,P4350A,"ETIQUETA RFID 4X2"" INLAY BELT",C, 08/01/24, 08/01/24, 26/01/24, 26/01/24, 28/01/24,,,37,18,2.00,0.00,2.00,0.00,MI,2.00,185,#N/A,embarcar a carlos olalde a cedis mexico
,I0ETI28600-2,PLANEACION,,M0549163-286,26.2,282.96,0.286,80.92656,N11200P,TIENDAS SORIANA,00742B0037C,ETIQ. TD 2 3/4 X 4 1/8 R-1500,C, 08/01/24, 08/01/24, 26/01/24, 26/01/24, 28/01/24,,,37,18,10.00,0.00,10.00,0.00,MI,800.00,79,Jaime Blasques,"HERMOSILLO, SE FACTURO COMPLETO, SOLO SE SURTE LA ETIQUETA 00742B0037C ,  SE SUSTITUYE EL PEDIDO I0ETI28600  FACTURA EFV127175"
,I0ETI28601-1,PLANEACION,OE00048091,M0549163-225,26.91,167837.67,0.225,37763.47575,NE9999P,PCM  (REPROGRAMACIONES),00742I0553A,ETIQ. TD 4X2 CEDIS FEB-AGO GRIS,C, 08/01/24, 08/01/24, 26/01/24, 26/01/24, 28/01/24,,,37,18,"5,775.00",0.00,"5,775.00",0.00,MI,0.00,182,Clelia Sanchez,Coordinar entrega con JAIME BLAZQUEZ
,I0ETI28602-1,PLANEACION,OE00048619,M0549163-225,26.91,167837.67,0.225,37763.47575,NE9999P,PCM  (REPROGRAMACIONES),00742I0553A,ETIQ. TD 4X2 CEDIS FEB-AGO GRIS,C, 08/01/24, 08/01/24, 26/01/24, 26/01/24, 28/01/24,,,37,18,"5,775.00",0.00,"5,775.00",0.00,MI,0.00,182,Clelia Sanchez,Coordinar entrega con JAIME BLAZQUEZ
,I0ETI28606-1,PLANEACION,,M0151308-325,18,5443.2,0.325,1769.04,NE9999P,PCM  (REPROGRAMACIONES),00742B0057A,ETIQ. TD 4 X 2 BLANCA CEDIS FRESCOS,C, 08/01/24, 08/01/24, 26/01/24, 26/01/24, 28/01/24,,,37,18,280.00,0.00,280.00,215.00,MI,0.00,182,Clelia Sanchez,Coordinar entrega con JAIME BLAZQUEZ
,I0ETI28608-1,PLANEACION,,M0151319-220,26.5,8586,0.22,1888.92,NE9999P,PCM  (REPROGRAMACIONES),00742I0273A,ETIQ. TD BLANCA 2 3/4 X 3 1/8 R2000,C, 08/01/24, 08/01/24, 26/01/24, 26/01/24, 28/01/24,,,37,18,300.00,0.00,300.00,364.00,MI,0.00,182,Clelia Sanchez,Coordinar entrega con JAIME BLAZQUEZ
,I0ETI28970-2,LIB NP5,OE00048487,M0549247-300,82.55,2407.158,0.3,722.1474,NE5335P,PLASTICOS INDUSTRIALES DE MONTERREY,00969I0023E,ETIQ. DEL VALLE FRUT BIDON 5 LT.,B, 15/01/24, 15/01/24, 27/01/24, 27/01/24, 29/01/24,13/2/2024,,30,18,150.00,123.00,27.00,0.00,MI,"26,460.00",79,Jaime Blasques,"PEDIDO PARA PRODUCCIÓN, NO FACTURAR HASTA REVISAR CON MARY ALVARADO DE CREDITO Y COBRANZA"
,I0ETI28786-1,MP,OE00048201,M0039242-330,37.04,16801.344,0.33,5544.44352,BA9014P,BACHOCO COMERCIAL,09014I0002A,ET TERMICA 4X4” S/SEG BLANCA C/TIF AH,C, 10/01/24, 10/01/24, 28/01/24, 27/01/24, 29/01/24,,,35,16,420.00,0.00,420.00,0.00,MI,"201,394.20",59,Cynthia Garay,
,I0ETI28726-1,CANCELACION SIST,OE00048120,M0151306-325,17.99,38858.4,0.325,12628.98,C10596P,COMERCIALIZADORA ELORO,10596B0003B,ETIQ. 60010850 TT 102 X 51 MM BCA,C, 09/01/24, 09/01/24, 27/01/24, 27/01/24,N/A,,,36,17,"2,000.00",0.00,"2,000.00",0.00,MI,"176,000.00",79,Jaime Blasques,
,I0ETI28863-1,PT,,M0151319-325,210.2,9080.64,0.325,2951.208,D12196D,FXI INC,50000B0004A,ETIQ. TD 4X6 R-1000 C/P C-3,A, 11/01/24, 11/01/24, 30/01/24, 30/01/24, 01/02/24,,,34,15,40.00,0.00,40.00,29.00,CJ,"35,224.18",182,Clelia Sanchez,WETI017938-5
,I0ETI28804-1,PLANEACION,OE00048239,M0151306-220,52.3,16945.2,0.22,3727.944,NT7189P,HIPOLITO NEVAREZ RODRIGUEZ,07189B0008A,ETIQ. TT 4X4 C-P R-1500 C-3,C, 11/01/24, 11/01/24, 30/01/24, 30/01/24, 01/02/24,,,34,15,300.00,0.00,300.00,0.00,MI,"42,624.64",179,Guadalupe Gomar,
,I0ETI29335-2,SALDO POR CERRAR,,M0549153-215,29,156.6,0.215,33.669,BA1744P,EFREN ROQUE FRANCO,PL5164100,ETQ. LASER 4 X 3 1/3 C/100,A, 23/01/24, 23/01/24, 30/01/24, 30/01/24, 01/02/24,,,22,14,25.00,20.00,5.00,110.00,PQ,"1,113.61",205,Gabriela Chapa,
,cs00005063-1,PT,OE00048885,M0549163-310,6.0452,7834.5792,0.31,2428.719552,TTIJ,ALMACEN ETIQUETAS MONTERREY-MP,00606I0001A,ETIQ. CAS LP 1000 57X40 R/700 C-38,C, 18/01/24, 18/01/24, 01/02/24, 01/02/24, 03/02/24,17/2/2024,14/2/2024,27,13,"1,200.00",0.00,"1,200.00",0.00,RL,"21,600.00",,#N/A,
,cs00005071-5,LIB FLXR,OE00048888,M0549247-118,355.8,3842.64,0.118,453.43152,TTIJ,ALMACEN ETIQUETAS MONTERREY-MP,08809B0001A,KIT ETIQ BOPP 3/4 x 3/4 C/3 R/5000,C, 19/01/24, 19/01/24, 02/02/24, 02/02/24, 06/02/24,12/2/2024,,26,12,10.00,0.00,10.00,0.00,CJ,0.00,,#N/A,
,I0ETI28999-1,LIB NP4,OE00048550,M0549196-325,54.77,9227.6496,0.325,2998.98612,N11730D,USEM DE MEXICO,11730I0001A,"ETIQ TT 6 X 8.5"" R-500 C-3""",C, 16/01/24, 16/01/24, 03/02/24, 03/02/24, 06/02/24,17/2/2024,,29,11,156.00,0.00,156.00,0.00,RL,"42,656.13",205,Gabriela Chapa,
,I0ETI28484-1,LIB NP5,OE00049396,M0085255-150,0.01249,539.568,0.15,80.9352,D11204D,UNIVERSAL ELECTRONICS INC.,11204I0022A,47006-0055860-M LABEL PROD ID PRUEBA IND,E, 04/01/24, 04/01/24, 23/01/24, 03/02/24, 06/02/24,14/2/2024,,41,1,"40,000.00",0.00,"40,000.00",0.00,PZ,"17,452.04",59,Cynthia Garay,
,I0ETI29062-1,PT,OE00048586,M0151318-290,146.05,7886.7,0.29,2287.143,NE8835P,DIKEN DE MEXICO,08835I0047D,MPQ-D482-2  ETIQ.  ADHESIVA DIKEN GRANDE,C, 17/01/24, 17/01/24, 04/02/24, 03/02/24, 06/02/24,14/2/2024,14/2/2024,28,10,50.00,0.00,50.00,0.00,MI,"69,849.00",39,Alejandro de Mata,
,I0ETI29062-2,LIB NP5,OE00048587,M0549247-245,103.19,3343.356,0.245,819.12222,NE8835P,DIKEN DE MEXICO,08835I0048D,MPQ-D902-5 ETIQ. ADHESIVA DIKEN CH S/R,C, 17/01/24, 17/01/24, 04/02/24, 03/02/24, 06/02/24,14/2/2024,,28,10,30.00,0.00,30.00,0.00,MI,"25,496.10",39,Alejandro de Mata,
,I0ETI29062-3,LIB NP5,OE00048588,M0549247-290,146.05,3154.68,0.29,914.8572,NE8835P,DIKEN DE MEXICO,08835I0049C,MPQ-D909-6 ETIQ. ADHESIVA DIKEN GDE S/R,C, 17/01/24, 17/01/24, 04/02/24, 03/02/24, 06/02/24,14/2/2024,,28,10,20.00,0.00,20.00,0.00,MI,"29,476.60",39,Alejandro de Mata,
,I0ETI29063-2,SALDO POR CERRAR,OE00048590,M0151308-325,18,38.88,0.325,12.636,N11200P,TIENDAS SORIANA,00742B0057A,ETIQ. TD 4 X 2 BLANCA CEDIS FRESCOS,C, 17/01/24, 17/01/24, 04/02/24, 03/02/24, 06/02/24,,,28,10,12.00,10.00,2.00,215.00,MI,160.00,79,Jaime Blasques,HERMOSILLO
,I0ETI29337-1,PT,OE00048950,M0151307-235,77.79,84.0132,0.235,19.743102,NE6281P,PCM Prueba Industrial,07935D0166A,3 1/8” x 230’ –30 roll case full footage,D, 23/01/24, 23/01/24, 04/02/24, 03/02/24, 06/02/24,,,22,9,1.00,0.00,1.00,0.00,MI,0.00,185,#N/A,Entregar en Ventas Consumibles a Perla Escalante de manera urgente.
,I0ETI29337-2,PT,OE00048951,M0151307-235,,0,0.235,0,NE6281P,PCM Prueba Industrial,07935D0167A,"2 1/4"" x 165’ –30 roll case full footage",D, 23/01/24, 23/01/24, 04/02/24, 03/02/24, 06/02/24,,,22,9,1.00,0.00,1.00,0.00,MI,0.00,185,#N/A,Entregar en Ventas Consumibles a Perla Escalante de manera urgente.
,I0ETI29017-1,SALDO POR CERRAR,OE00048570,M0549163-225,26.91,58.1256,0.225,13.07826,N11200P,TIENDAS SORIANA,00742I0553A,ETIQ. TD 4X2 CEDIS FEB-AGO GRIS,C, 16/01/24, 16/01/24, 03/02/24, 03/02/24, 06/02/24,,,29,10,652.00,650.00,2.00,0.00,MI,160.00,79,Jaime Blasques,VILLAHERMOSA
