R,No. Pedido,INFO,OT,MP,ML UV,ML TOTAL,ANCHO,M2,Cve,Cliente,Sku item,Descripcion,ABCD,F.Pedido,F.Lib,F. Soli. Clie,F. Venci. Ped,"F. Emb.
Plan",F. MODIFICADA,F. PT ENTREGA,Dias Lib,Dias Venci.,C.Orded.,C.Surtida,C.XSurtir,Existencia,U/M,Total,Vend,VENDEDORES,Nota
*,I0ETI28563-2,RETENIDO,,,,,,,N11818P,BELKEL DISTRIBUIDORA,PL5165100,ETIQ. LASER 8 1/2 X 11 C/100,A, 06/01/24, 06/01/24, 13/01/24, 13/01/24,13/01/2024,,,39,32,20.00,0.00,20.00,120.00,PQ,"3,180.75",182,Clelia Sanchez,
*,I0ETI28570-1,RETENIDO,OE00049033,,,,,,N11443D,CP PACK,11443D0001A,ETIQ. TT REMOV. 3 X 12 R/500 C-3,D, 08/01/24, 08/01/24, 20/01/24, 20/01/24,20/01/2024,,,37,25,30.00,0.00,30.00,0.00,MI,"18,833.90",182,Clelia Sanchez,
,I0ETI29351-1,LIB 2200,OE00049199,M0549204-230,96.04,5186.16,0.23,1192.8168,N11432D,MULTIAPLICACIONES PORTATILES,11432B0004B,9055001954 ETIQ TT 106X187MM BLAN R-1000,C, 23/01/24, 23/01/24, 10/02/24, 10/02/24, 12/02/24,17/2/2024,,22,3,50.00,0.00,50.00,0.00,MI,"15,530.61",205,Gabriela Chapa,MATERIAL DE STOCK
,I0ETI29352-1,LIB 2200,OE00049150,M0549204-235,96.04,2074.464,0.235,487.49904,N11432D,MULTIAPLICACIONES PORTATILES,11432I0001B,9055001959 ETIQ TT 106X187MM AZUL R-1000,C, 23/01/24, 23/01/24, 10/02/24, 10/02/24, 12/02/24,17/2/2024,,22,3,20.00,0.00,20.00,0.00,MI,"7,260.75",205,Gabriela Chapa,MATERIAL EN STOCK
,I0ETI29353-1,LIB 2200,OE00049153,M0549204-235,96.04,2074.464,0.235,487.49904,N11432D,MULTIAPLICACIONES PORTATILES,11432I0001B,9055001959 ETIQ TT 106X187MM AZUL R-1000,C, 23/01/24, 23/01/24, 10/02/24, 10/02/24, 12/02/24,17/2/2024,,22,3,20.00,0.00,20.00,0.00,MI,"7,260.75",205,Gabriela Chapa,MATERIAL DE STOCK
,I0ETI29355-1,LIB 2200,OE00049154,M0549204-230,96.04,18670.176,0.23,4294.14048,N11432D,MULTIAPLICACIONES PORTATILES,11432B0004B,9055001954 ETIQ TT 106X187MM BLAN R-1000,C, 23/01/24, 23/01/24, 10/02/24, 10/02/24, 12/02/24,17/2/2024,,22,3,180.00,0.00,180.00,0.00,MI,"55,910.20",205,Gabriela Chapa,ENVIO NORMAL
,I0ETI29356-1,LIB 2200,OE00049155,M0549204-235,96.04,4978.7136,0.235,1169.997696,N11432D,MULTIAPLICACIONES PORTATILES,11432I0001B,9055001959 ETIQ TT 106X187MM AZUL R-1000,C, 23/01/24, 23/01/24, 10/02/24, 10/02/24, 12/02/24,17/2/2024,,22,3,48.00,0.00,48.00,0.00,MI,"17,425.81",205,Gabriela Chapa,ORDEN NORMAL
,I0ETI29357-1,LIB 2200,OE00049156,M0549204-230,96.04,5808.4992,0.23,1335.954816,N11432D,MULTIAPLICACIONES PORTATILES,11432B0004B,9055001954 ETIQ TT 106X187MM BLAN R-1000,C, 23/01/24, 23/01/24, 10/02/24, 10/02/24, 12/02/24,17/2/2024,,22,3,56.00,0.00,56.00,0.00,MI,"17,394.28",205,Gabriela Chapa,ORDEN NORMAL
,I0ETI29359-1,LIB 2200,OE00048835,M0549247-230,7.938,428.652,0.23,98.58996,PA5209P,BACHOCO  (CULIACAN ),03362I0339A,ETIQ FILETE DE MUSLO SIN PIEL,C, 23/01/24, 23/01/24, 10/02/24, 10/02/24, 12/02/24,14/2/2024,,22,3,50.00,0.00,50.00,40.00,MI,"2,720.00",59,Cynthia Garay,
,I0ETI29359-2,LIB XL,OE00049137,M0549247-225,9.922,535.788,0.225,120.5523,PA5209P,BACHOCO  (CULIACAN ),03362I0327B,ETIQ. F&E ALITAS DE POLLO,C, 23/01/24, 23/01/24, 10/02/24, 10/02/24, 12/02/24,14/2/2024,,22,3,50.00,0.00,50.00,0.00,MI,"2,720.00",59,Cynthia Garay,
,I0ETI29359-3,PT,OE00048837,M0549247-225,9.922,535.788,0.225,120.5523,PA5209P,BACHOCO  (CULIACAN ),03362I0325C,ETIQ. F&E FILETE DE PECH DE POLLO SIN HU,C, 23/01/24, 23/01/24, 10/02/24, 10/02/24, 12/02/24,,,22,3,50.00,0.00,50.00,150.00,MI,"2,720.00",59,Cynthia Garay,
,I0ETI29359-5,PT,OE00049138,M0549142-230,9.92,128.5632,0.23,29.569536,PA5209P,BACHOCO  (CULIACAN ),03362I0607A,ETI19151 ET. DECO MUSLOS PICOSITOS,C, 23/01/24, 23/01/24, 10/02/24, 10/02/24, 12/02/24,14/2/2024,8/2/2024,22,3,12.00,0.00,12.00,12.00,MI,"1,711.92",59,Cynthia Garay,
*,I0ETI28679-1,RETENIDO,OE00048623,,,,,,CT9222P,RECKITT BENCKISER MEXICO,09222I0038A,ETIQ. 3169092 VANISH PINK ARMAGEDON 450G,C, 09/01/24, 09/01/24, 27/01/24, 27/01/24,26/01/2024,,,36,18,50.00,48.50,1.50,0.00,MI,"1,448.27",79,Jaime Blasques,"SOLO FACTURAR, PEDIDO LIGADO AL WETI018201  WOT58084"
*,I0ETI28701-1,RETENIDO,,,,,,,C10740P,IMPRENTA Y SERVICIOS EMPRESARIALES MENDEZ,M5642-G32433M,G32433M 105SL300DPI,C, 09/01/24, 09/01/24, 27/01/24, 09/01/24,27/01/2024,,,36,18,1.00,0.00,1.00,0.00,PZ,"12,674.03",209,#N/A,
*,I0ETI28716-1,RETENIDO,,,,,,,N11248D,ALIMENTOS TRES G,11248I0037B,ETIQ. DE HABANERO CREMOSA 425GR,C, 09/01/24, 09/01/24, 25/01/24, 25/01/24,25/01/2024,,,36,20,18.00,0.00,18.00,17.50,MI,"15,275.75",182,Clelia Sanchez,
*,I0ETI28716-2,RETENIDO,,,,,,,N11248D,ALIMENTOS TRES G,11248D0005C,,D, 09/01/24, 09/01/24, 21/01/24, 19/01/24,21/01/2024,,,36,23,5.00,0.00,5.00,0.00,MI,"4,716.43",182,Clelia Sanchez,
,I0ETI29359-6,PT,OE00049139,M0549247-230,7.938,428.652,0.23,98.58996,PA5209P,BACHOCO  (CULIACAN ),03362I0341A,ETIQ MUSLO DE POLLOS SIN PIEL,C, 23/01/24, 23/01/24, 10/02/24, 10/02/24, 12/02/24,,,22,3,50.00,0.00,50.00,50.00,MI,"2,720.00",59,Cynthia Garay,
,I0ETI29365-1,PTE SUAJE LIB FLXR,OE00049140,M0549204-220,39.68,1799.8848,0.22,395.974656,NO3666P,THINK SMART,03666b0023A,"ETIQ. TT 4X3"" R-1000 C-3"" C/P",C, 23/01/24, 07/02/24, 10/02/24, 10/02/24, 12/02/24,13/2/2024,,7,3,42.00,0.00,42.00,0.00,MI,"5,591.02",205,Gabriela Chapa,
*,I0ETI28741-1,RETENIDO,,,,,,,N10540P,INGENIERIA CARNICA MEXICANA,05223B0001A,ETIQ. TT 3.25 X 6 R-1000 C-3,C, 10/01/24, 10/01/24, 28/01/24, 27/01/24,28/01/2024,,,35,17,48.00,0.00,48.00,0.00,MI,"9,272.87",182,Clelia Sanchez,"FAVOR DE CITAR EL NO. DE OC EN TODA LA CORRESPONDENCIA, DOC, Y EMPAQUES"
,I0ETI29367-1,SALDO POR CERRAR,OE00049143,M0151306-220,84.7,91.476,0.22,20.12472,NE5911D,ACS INTERNACIONAL,05911I0005A,ETIQ. TT ORANGE 4 X 6 1/2 C/PLECA C-3,C, 23/01/24, 23/01/24, 10/02/24, 10/02/24, 12/02/24,,,22,3,17.00,16.00,1.00,0.00,MI,300.33,182,Clelia Sanchez,"REVISAR FICHA TÉCNICA
SHIP DATE: (COLOCAR FECHA DE EMPAQUE) | PART NO. LABEL- ORAGE | PART DESC: LABEL, 4"" X 6.5"" ORANGE| QUANTITY: (SOLICITAR INF A PRODUCCIÓN) | UOM: PCS | LOTE BATCH: (COLOCAR WOT PCM)  | SOURCE_REF2: 1 | SOURCE_REF3: 1 | P.O: P373844"
,cs00005096-1,PT,oe00048927,M0151319-220,77.8,8402.4,0.22,1848.528,TTIJ,ALMACEN ETIQUETAS MONTERREY-MP,10223B0002A,ETIQUETA TD 4 X 6 R-250 C-1,C, 29/01/24, 29/01/24, 13/02/24, 13/02/24, 15/02/24,14/2/2024,14/2/2024,16,1,100.00,0.00,100.00,0.00,MI,"14,800.00",,#N/A,
,cs00005096-2,LIB NP4,oe00048928,M2644003-254,39.68,25712.64,0.254,6531.01056,TTIJ,ALMACEN ETIQUETAS MONTERREY-MP,10272I0001A,"ETIQ. TD 70GR 3.125"" X 1.25"" R5000 C1 CP",C, 29/01/24, 29/01/24, 13/02/24, 13/02/24, 15/02/24,19/2/2024,,16,1,600.00,0.00,600.00,0.00,RL,"17,390.19",,#N/A,
,I0ETI28747-6,LIB NP5,OE00048301,M0549142-160,238.1,2571.48,0.16,411.4368,NE3330P,QUALTIA ALIMENTOS OPERACIONES,03330I0035C,ETIQ. B6802 JAMÓN DE PIERNA KIR,C, 10/01/24, 11/01/24, 13/02/24, 13/02/24, 15/02/24,16/2/2024,,34,1,10.00,0.00,10.00,0.00,MI,"30,470.00",79,Jaime Blasques,
,I0ETI28912-1,PT LOGISTICA,,M0151319-325,210.2,9080.64,0.325,2951.208,D12196D,FXI INC,50000B0004A,ETIQ. TD 4X6 R-1000 C/P C-3,A, 12/01/24, 12/01/24, 13/02/24, 13/02/24, 15/02/24,,,33,1,40.00,0.00,40.00,29.00,CJ,"35,341.70",182,Clelia Sanchez,WETI017938-7
,I0ETI29140-1,LIB NP4,OE00049168,M0151234-320,50.8,5431.536,0.32,1738.09152,CT8425P,ESTAFETA SOLUCIONES LOGISTICAS,06010I0006H,ETIQ. ESTAFETA TD 99X149 GUÍA 007 R250,C, 18/01/24, 18/01/24, 13/02/24, 13/02/24, 15/02/24,14/2/2024,,27,1,99.00,0.00,99.00,0.00,MI,"27,007.20",79,Jaime Blasques,
,I0ETI29612-1,LIB FLXR OE00049169,,M0151306-220,331.5,3580.2,0.22,787.644,C10723D,CORRUGADOS HEAVY BOX,50000B0014A,ETIQUETA TT 4X6 1/2  R-1000 C/P C-3,A, 31/01/24, 31/01/24, 13/02/24, 13/02/24, 15/02/24,14/2/2024,,14,1,32.00,22.00,10.00,0.00,CJ,"9,317.70",39,Alejandro de Mata,
,I0ETI29434-1,MP,,M0085244-216,14.8,447.552,0.216,96.671232,CA6958D,VICTORY PACKAGING LP.,06958B0003C,ETIQUETA 12000412A 4 X 2 1/2 MEDIO CORTE,C, 25/01/24, 25/01/24, 13/02/24, 13/02/24, 15/02/24,,,20,1,28.00,0.00,28.00,0.00,MI,"5,912.87",182,Clelia Sanchez,WETI018127
,I0ETI29438-1,PT,OE00049147,M0721370-250,88.9,1728.216,0.25,432.054,NE9999P,PCM  (REPROGRAMACIONES),11248I0017B,ETIQ. QUESO & JALAPEÑO 425GR,C, 25/01/24, 25/01/24, 13/02/24, 13/02/24, 15/02/24,15/2/2024,13/2/2024,20,0,18.00,0.00,18.00,36.00,MI,0.00,182,Clelia Sanchez,Clelia sanchez
,I0ETI29438-2,PT,OE00049174,M0721370-250,88.9,1728.216,0.25,432.054,NE9999P,PCM  (REPROGRAMACIONES),11248I0015C,ETIQ. RANCH & JALAPEÑO 425GR,C, 25/01/24, 25/01/24, 13/02/24, 13/02/24, 15/02/24,15/2/2024,13/2/2024,20,0,18.00,0.00,18.00,18.00,MI,0.00,182,Clelia Sanchez,Clelia sanchez
,I0ETI29440-1,PT,OE00049175,M0721370-250,88.9,1728.216,0.25,432.054,NE9999P,PCM  (REPROGRAMACIONES),11248I0019C,ETIQ. CHIPOTLE CREMOSA 425GR,C, 25/01/24, 25/01/24, 13/02/24, 13/02/24, 15/02/24,15/2/2024,13/2/2024,20,0,18.00,0.00,18.00,18.00,MI,0.00,182,Clelia Sanchez,Coordinar con clelia sanchez
,I0ETI29440-2,PT 17.5 DE 18,OE00049176,M0721370-250,88.9,1728.216,0.25,432.054,NE9999P,PCM  (REPROGRAMACIONES),11248I0037B,ETIQ. DE HABANERO CREMOSA 425GR,C, 25/01/24, 25/01/24, 13/02/24, 13/02/24, 15/02/24,15/2/2024,14/2/2024,20,0,18.00,0.00,18.00,17.50,MI,0.00,182,Clelia Sanchez,Coordinar con clelia sanchez
,I0ETI29481-2,LIB FLXR,OE00049204,M0549196-220,40.5,1312.2,0.22,288.684,SU9178P,OCTAVIO ALLEC ACEVEDO,50000B0040A,ETIQ. TT 102 MM X 76 MM C/P R-1000 C-1.5,C, 26/01/24, 26/01/24, 13/02/24, 13/02/24, 15/02/24,13/2/2024,,19,0,30.00,0.00,30.00,0.00,MI,"3,533.03",179,Guadalupe Gomar,
,I0ETI29461-1,LIB NP4,OE00049274,M0549247-280,118.53,1280.124,0.28,358.43472,SU5241P,BACHOCO  (MERIDA),05300I0120A,ETI19263 ET CAJA EXHIB ALITAS CITRUS & H,C, 25/01/24, 25/01/24, 13/02/24, 13/02/24, 15/02/24,15/2/2024,,20,0,10.00,0.00,10.00,0.00,MI,"21,343.50",59,Cynthia Garay,
,I0ETI29642-1,PDT X DISEÑO,OE00049092,M0151225-285,92.07,795.4848,0.285,226.713168,N12091D,AVIDEG DE MEXICO,12091D0001A,ETIQ. CHICHARRON EN SALSA VERDE 250 GR,D, 31/01/24, 31/01/24, 13/02/24, 13/02/24, 15/02/24,,,14,0,8.00,0.00,8.00,0.00,MI,"10,906.61",182,Clelia Sanchez,
*,I0ETI28779-1,RETENIDO,,,,,,,BA3362P,BACHOCO ( CELAYA ),03362I0053B,"ETIQ. TERMICA 4"" X 4"" C/SEG. AMARILLO",B, 10/01/24, 10/01/24, 27/01/24, 27/01/24,27/01/2024,,,35,18,24.00,0.00,24.00,0.00,MI,"9,006.00",59,Cynthia Garay,
*,I0ETI28779-2,RETENIDO,,,,,,,BA3362P,BACHOCO ( CELAYA ),03362I0050B,ETIQ. TERMICA 4 X 4 C/SEG. ROJO,B, 10/01/24, 10/01/24, 27/01/24, 27/01/24,27/01/2024,,,35,18,24.00,0.00,24.00,47.00,MI,"9,006.00",59,Cynthia Garay,
,I0ETI29642-2,PDT X DISEÑO,OE00049093,M0151225-285,92.07,795.4848,0.285,226.713168,N12091D,AVIDEG DE MEXICO,12091D0002A,ETIQ. ESQUITE 320 GR,D, 31/01/24, 31/01/24, 13/02/24, 13/02/24, 15/02/24,,,14,0,8.00,0.00,8.00,0.00,MI,"10,906.61",182,Clelia Sanchez,
,I0ETI29642-3,PDT X DISEÑO,OE00049094,M0151225-285,92.07,795.4848,0.285,226.713168,N12091D,AVIDEG DE MEXICO,12091D0003A,ETIQ. BIRRIA DE RES 280 GR,D, 31/01/24, 31/01/24, 13/02/24, 13/02/24, 15/02/24,,,14,0,8.00,0.00,8.00,0.00,MI,"10,906.61",182,Clelia Sanchez,
,I0ETI29485-1,LIB DCR,OE00049003,M0151319-250,10.79,34959.6,0.25,8739.9,NO6304P,GENARO BORQUEZ GASTELUM,06304B0008A,ETIQ. TORREY 57 X 40 MM C-40MM R-1000,C, 26/01/24, 30/01/24, 13/02/24, 13/02/24, 15/02/24,21/2/2024,,15,0,"3,000.00",0.00,"3,000.00",0.00,RL,"97,200.00",72,Arturo Castro,enviar a la brevedad
,I0ETI28787-1,MP,OE00048198,M0039242-330,37.04,16801.344,0.33,5544.44352,BA9014P,BACHOCO COMERCIAL,09014I0002A,ET TERMICA 4X4” S/SEG BLANCA C/TIF AH,C, 10/01/24, 10/01/24, 14/02/24, 14/02/24, 16/02/24,,,35,0,420.00,0.00,420.00,0.00,MI,"201,394.20",59,Cynthia Garay,
,I0ETI28793-1,LIB NP5,OE00048225,M4800005-246,158.75,904.875,0.246,222.59925,N10902P,PODER Y ARMONIA,10902I0009D,MANGA PHITEN ORO 500ML. AZUL,E, 10/01/24, 10/01/24, 14/02/24, 14/02/24, 16/02/24,,,35,0,5.00,0.00,5.00,0.00,MI,"10,805.91",59,Cynthia Garay,
,I0ETI28793-2,MP,OE00048226,M4800005-384,257.175,1465.8975,0.384,562.90464,N10902P,PODER Y ARMONIA,10902I0007C,MANGA PHITEN ORO 2L AZUL,E, 10/01/24, 10/01/24, 14/02/24, 14/02/24, 16/02/24,,,35,0,5.00,0.00,5.00,0.00,MI,"15,891.09",59,Cynthia Garay,
,I0ETI29791-1,LIB DCR,,M0151319-305,293.6,41855.616,0.305,12765.96288,N12131P,ISRAEL JUAREZ FUENTES,50000B0065A,ETIQ. TD TORREY 57 X 40 R-1000 C-38 B/34,A, 07/02/24, 07/02/24, 14/02/24, 14/02/24, 16/02/24,,,7,-1,132.00,0.00,132.00,37.00,CJ,"181,048.03",201,Sonia Segura,
*,I0ETI28840-1,RETENIDO,,,,,,,N11623P,SAMUEL IVAN LOPEZ MEDINA,50000B0015A,ETIQ. TT 4 X 6 C/P R/1000 C-3,A, 11/01/24, 11/01/24, 18/01/24, 18/01/24,18/01/2024,,,34,27,14.00,0.00,14.00,-13.00,CJ,"11,930.16",205,Gabriela Chapa,
*,I0ETI28840-2,RETENIDO,,,,,,,N11623P,SAMUEL IVAN LOPEZ MEDINA,50000B0012A,ETIQ. TT 4X2 R-2000 C/P C-3,A, 11/01/24, 11/01/24, 18/01/24, 18/01/24,18/01/2024,,,34,27,3.00,0.00,3.00,62.00,CJ,"2,798.29",205,Gabriela Chapa,
,I0ETI29466-1,PT,OE00048901,M0549199-300,82.55,1426.464,0.3,427.9392,NE0969P,EMBOTELLADORA GEYSER,00969I0025C,ETIQ. CIEL BIDON 5 LT.,B, 26/01/24, 26/01/24, 15/02/24, 15/02/24, 17/02/24,15/2/2024,14/2/2024,19,-1,100.00,84.00,16.00,0.00,MI,"15,392.00",79,Jaime Blasques,
,I0ETI29684-1,LIB NP5,OE00049217,M0549247-300,82.55,8915.4,0.3,2674.62,NE9999P,PCM  (REPROGRAMACIONES),00969I0023E,ETIQ. DEL VALLE FRUT BIDON 5 LT.,B, 02/02/24, 02/02/24, 15/02/24, 15/02/24, 17/02/24,19/2/2024,,12,-2,100.00,0.00,100.00,0.00,MI,0.00,182,Clelia Sanchez,coordinar con jaime blazquez
,I0ETI29684-2,LIB NP4,OE00049279,M0549199-300,82.55,8915.4,0.3,2674.62,NE9999P,PCM  (REPROGRAMACIONES),00969I0025C,ETIQ. CIEL BIDON 5 LT.,B, 02/02/24, 02/02/24, 15/02/24, 15/02/24, 17/02/24,17/2/2024,,12,-2,100.00,0.00,100.00,0.00,MI,0.00,182,Clelia Sanchez,coordinar con jaime blazquez
*,I0ETI28914-1,RETENIDO,,,,,,,NT9488D,ALPHABET DE MEXICO,50000B0031B,ETIQ. TT 4X4 R-1000 C/P C-3,A, 12/01/24, 12/01/24, 19/01/24, 19/01/24,19/01/2024,,,33,25,5.00,0.00,5.00,49.00,CJ,"3,394.84",39,Alejandro de Mata,WETI018302 SUSTITUYE A ESTE PEDIDO.
*,I0ETI28915-1,RETENIDO,,,,,,,NT9488D,ALPHABET DE MEXICO,50000B0012A,ETIQ. TT 4X2 R-2000 C/P C-3,A, 12/01/24, 12/01/24, 19/01/24, 12/01/24,19/01/2024,,,33,25,5.00,0.00,5.00,62.00,CJ,"5,148.33",39,Alejandro de Mata,WETI018303 SUSTITUYE A ESTE PEDIDO
*,I0ETI28915-2,RETENIDO,,,,,,,NT9488D,ALPHABET DE MEXICO,50000I0008B,ETIQ. TT 4 X 2 R-3000 C/P C-3 P-230 (ROS,A, 12/01/24, 12/01/24, 19/01/24, 12/01/24,19/01/2024,,,33,25,4.00,0.00,4.00,16.00,CJ,"4,469.37",39,Alejandro de Mata,WETI018303 SUSTITUYE A ESTE PEDIDO
*,I0ETI28916-1,RETENIDO,,,,,,,NT9488D,ALPHABET DE MEXICO,50000B0012A,ETIQ. TT 4X2 R-2000 C/P C-3,A, 12/01/24, 12/01/24, 19/01/24, 19/01/24,19/01/2024,,,33,25,5.00,0.00,5.00,62.00,CJ,"5,148.33",39,Alejandro de Mata,WETI018303 SUSTITUYE A ESTE PEDIDO
*,I0ETI28916-2,RETENIDO,,,,,,,NT9488D,ALPHABET DE MEXICO,50000I0008B,ETIQ. TT 4 X 2 R-3000 C/P C-3 P-230 (ROS,A, 12/01/24, 12/01/24, 19/01/24, 19/01/24,19/01/2024,,,33,25,4.00,0.00,4.00,16.00,CJ,"4,469.37",39,Alejandro de Mata,WETI018303 SUSTITUYE A ESTE PEDIDO
*,I0ETI28917-2,RETENIDO,,,,,,,NE3611D,CERVECERIA CUAUHTEMOC MOCTEZUMA,03611I0003B,17020168 ETIQUETA REMOVIBLE MANUAL,B, 12/01/24, 12/01/24, 25/01/24, 12/01/24,25/01/2024,,,33,19,50.00,0.00,50.00,0.00,MI,"27,313.35",39,Alejandro de Mata,WETI018624 SUSTITUYE A ESTE PEDIDO
*,I0ETI28919-1,RETENIDO,,,,,,,N12382D,SY TOTAL SERVICES,12382B0001A,"ETIQ. TD 1.5""X0.75"" BLANCA C-1 R-800",C, 12/01/24, 12/01/24, 30/01/24, 30/01/24,30/01/2024,,,33,14,320.00,0.00,320.00,0.00,MI,"8,753.87",79,Jaime Blasques,
*,I0ETI28919-2,RETENIDO,,,,,,,N12382D,SY TOTAL SERVICES,12382I0001A,"ETIQ. TD 1.5""X0.75"" AMARILLA C-1 R-800",C, 12/01/24, 12/01/24, 30/01/24, 30/01/24,30/01/2024,,,33,14,320.00,0.00,320.00,0.00,MI,"9,351.96",79,Jaime Blasques,
*,I0ETI28921-1,RETENIDO,,,,,,,N12382D,SY TOTAL SERVICES,10262B0010A,ETIQ. TT 64 X 24 MM C-3 R-1000,C, 12/01/24, 12/01/24, 30/01/24, 30/01/24,30/01/2024,,,33,14,8.00,0.00,8.00,0.00,CJ,"4,419.07",79,Jaime Blasques,
*,I0ETI28921-2,RETENIDO,,,,,,,N12382D,SY TOTAL SERVICES,50000B0015A,ETIQ. TT 4 X 6 C/P R/1000 C-3,A, 12/01/24, 12/01/24, 30/01/24, 30/01/24,30/01/2024,,,33,14,2.00,0.00,2.00,-13.00,CJ,"2,041.32",79,Jaime Blasques,
*,I0ETI28921-3,RETENIDO,,,,,,,N12382D,SY TOTAL SERVICES,10262I0018A,ETIQ.TD 4 X 6 C-P C-1 R-500 P-297,C, 12/01/24, 12/01/24, 30/01/24, 30/01/24,30/01/2024,,,33,14,30.00,0.00,30.00,0.00,CJ,"35,834.44",79,Jaime Blasques,
*,I0ETI28921-4,RETENIDO,,,,,,,N12382D,SY TOTAL SERVICES,10262I0025B,ETIQ. KIA MOTORS GENUINE PARTS 3 X 2,C, 12/01/24, 12/01/24, 30/01/24, 30/01/24,30/01/2024,,,33,14,240.00,0.00,240.00,0.00,MI,"24,548.89",79,Jaime Blasques,
*,I0ETI28924-1,RETENIDO,,,,,,,N12382D,SY TOTAL SERVICES,10262B0005A,ETIQ. TD 4 X 3 BLANCA C-1 C/P,C, 12/01/24, 12/01/24, 30/01/24, 30/01/24,30/01/2024,,,33,14,18.00,0.00,18.00,0.00,CJ,"24,944.44",79,Jaime Blasques,
*,I0ETI28924-2,RETENIDO,,,,,,,N12382D,SY TOTAL SERVICES,10262B0007A,ETIQ. TD 4 X 5 BLANCA C-1 R-300,C, 12/01/24, 12/01/24, 30/01/24, 30/01/24,30/01/2024,,,33,14,20.00,0.00,20.00,0.00,CJ,"29,455.94",79,Jaime Blasques,
*,I0ETI28924-3,RETENIDO,,,,,,,N12382D,SY TOTAL SERVICES,10262I0007A,ETIQ. TD 4 X 5 YELLOW C-1 R-300,C, 12/01/24, 12/01/24, 30/01/24, 30/01/24,30/01/2024,,,33,14,20.00,0.00,20.00,0.00,CJ,"38,498.66",79,Jaime Blasques,
*,I0ETI28924-4,RETENIDO,,,,,,,N12382D,SY TOTAL SERVICES,10262I0028A,"ETIQ. TD 4""X5"" VERDE C-1 R-300",C, 12/01/24, 12/01/24, 30/01/24, 30/01/24,30/01/2024,,,33,14,4.00,0.00,4.00,0.00,CJ,"7,699.73",79,Jaime Blasques,
*,I0ETI28927-1,PT,,,,,,,N12091D,AVIDEG DE MEXICO,12091I0001A,ETIQ. SALSA PARA ALITAS BUFFALO 355ML,C, 12/01/24, 12/01/24, 30/01/24, 30/01/24,30/01/2024,,,33,14,60.00,0.00,60.00,0.00,MI,"58,337.40",182,Clelia Sanchez,WETI018408-1
*,I0ETI28929-1,RETENIDO,,,,,,,NE7141P,SPRAYLAB,07141I0139C,MANGA 2PACK ACEITE CANOLA MEMBERS CHOICE,E, 12/01/24, 12/01/24, 11/02/24, 10/02/24,11/02/2024,,,33,2,20.00,0.00,20.00,0.00,MI,"31,362.36",79,Jaime Blasques,PEDIDO LIGADO AL WETI018269
,CS00005113-2,PT,OE00049280,M0151307-235,77.79,420.066,0.235,98.71551,MTYM,ALMACEN ETIQUETAS MONTERREY-MP,07935D0168A,TERMICO 2 1/4' x 85'' 100 ROLLS,D, 02/02/24, 02/02/24, 16/02/24, 16/02/24, 19/02/24,16/2/2024,14/2/2024,12,-2,5.00,0.00,5.00,0.00,MI,0.00,,#N/A,
*,I0ETI28950-1,RETENIDO,,,,,,,NO8594P,MANUEL MORENO HERNANDEZ,50000B0065A,ETIQ. TD TORREY 57 X 40 R-1000 C-38 B/34,A, 12/01/24, 12/01/24, 19/01/24, 19/01/24,19/01/2024,,,33,25,30.00,0.00,30.00,37.00,CJ,"33,139.80",72,Arturo Castro,URGENTE
*,I0ETI28952-1,RETENIDO,,,,,,,C11810P,ROSA ARREOLA CARDENAS,08125I0008A,ETIQ. SEGURIDAD APEAM,C, 13/01/24, 13/01/24, 01/02/24, 12/01/24,01/02/2024,,,32,13,60.00,0.00,60.00,0.00,MI,"13,440.00",209,#N/A,SOLO FACTURAR
*,I0ETI28960-1,RETENIDO,,,,,,,NE7141P,SPRAYLAB,07141B0003C,MANGA SELLO DE GARANTIA,E, 13/01/24, 13/01/24, 13/02/24, 13/02/24,13/02/2024,,,32,1,840.00,400.00,440.00,0.00,MI,"54,346.97",79,Jaime Blasques,PEDIDO LIGADO AL WETI017510
*,I0ETI28961-1,LIB NP5,OE00049173,,,,,,NE7141P,SPRAYLAB,07141I0151A,MANGA 2PACK KROGER CANOLA OIL,E, 13/01/24, 13/01/24, 13/02/24, 13/02/24,13/02/2024,,,32,1,30.00,0.00,30.00,0.00,MI,"28,981.20",79,Jaime Blasques,PEDIDO LIGADO AL WETI017510
,CS00005116-2,PT,OE00049207,M0039145-230,3.7,95.904,0.23,22.05792,BCEL,ALMACEN ETIQUETAS MONTERREY-MP,03362B0005A,ETI. TERMICA FECHA DE CADUCIDAD,B, 06/02/24, 06/02/24, 16/02/24, 16/02/24, 19/02/24,,,8,-2,24.00,0.00,24.00,-160.00,MI,556.04,,#N/A,
,CS00005116-3,PT,OE00049208,M0039145-325,37.042,4000.536,0.325,1300.1742,BCEL,ALMACEN ETIQUETAS MONTERREY-MP,03362B0003A,ETIQ. BCA. TOTE 4 X 4 1/4 RESPALDO LAM,B, 06/02/24, 06/02/24, 16/02/24, 16/02/24, 19/02/24,,,8,-2,100.00,0.00,100.00,-198.00,MI,"29,605.10",,#N/A,
,CS00005118-3,MP,OE00049228,M3077285-325,"1,000.00",10800,0.325,3510,WRIB,ALMACEN ETIQUETAS MONTERREY-MP,07935I0034B,LIDER AZUL DNP,B, 06/02/24, 06/02/24, 16/02/24, 16/02/24, 19/02/24,,,8,-2,10.00,0.00,10.00,0.00,ML,0.00,,#N/A,
